price,propertyType,operation,size,rooms,bathrooms,province,municipality,district,country,distance,newDevelopment,hasLift,priceByArea,newDevelopmentFinished
1400.0,flat,rent,60.0,2,2,Barcelona,Hospitalet de Llobregat,Centre,es,7297.0,False,True,23.0,
1650.0,flat,rent,67.0,2,1,Barcelona,Barcelona,Ciutat Vella,es,806.0,False,True,25.0,
850.0,flat,rent,63.0,3,1,Barcelona,Hospitalet de Llobregat,La Torrasa,es,4441.0,False,True,13.0,
2700.0,flat,rent,136.0,3,2,Barcelona,Barcelona,Ciutat Vella,es,773.0,False,True,20.0,
2700.0,flat,rent,110.0,2,3,Barcelona,Barcelona,Ciutat Vella,es,685.0,False,True,25.0,
1550.0,flat,rent,89.0,2,1,Barcelona,Barcelona,Eixample,es,1256.0,False,True,17.0,
1750.0,duplex,rent,155.0,4,3,Barcelona,Sant Joan Despí,Eixample,es,10088.0,False,True,11.0,
800.0,flat,rent,48.0,2,1,Barcelona,Cerdanyola del Vallès,Centre-Cordelles,es,13205.0,False,True,17.0,
1825.0,flat,rent,59.0,2,1,Barcelona,Barcelona,Sants-Montjuïc,es,1295.0,False,True,31.0,
900.0,flat,rent,38.0,1,1,Barcelona,Barcelona,Sants-Montjuïc,es,2830.0,False,True,24.0,
1100.0,flat,rent,70.0,2,2,Barcelona,Sant Cugat del Vallès,Centre - Estació,es,12718.0,False,True,16.0,
1480.0,flat,rent,108.0,4,2,Barcelona,Barcelona,Sarrià-Sant Gervasi,es,2731.0,False,True,14.0,
1900.0,flat,rent,130.0,3,2,Barcelona,Barcelona,Gràcia,es,2071.0,False,True,15.0,
1600.0,flat,rent,54.0,1,1,Barcelona,Barcelona,Eixample,es,2310.0,False,True,30.0,
1150.0,flat,rent,76.0,3,1,Barcelona,Barcelona,Sant Martí,es,2689.0,False,True,15.0,
900.0,flat,rent,38.0,1,1,Barcelona,Barcelona,Ciutat Vella,es,1738.0,False,False,24.0,
900.0,flat,rent,75.0,3,1,Barcelona,Hospitalet de Llobregat,Collblanc,es,4360.0,False,True,12.0,
2100.0,flat,rent,106.0,3,3,Barcelona,Barcelona,Sant Martí,es,3751.0,False,True,20.0,
950.0,flat,rent,95.0,2,1,Barcelona,Montcada i Reixac,Terra Nostra - Font Pudenta,es,10927.0,False,True,10.0,
1350.0,flat,rent,35.0,1,1,Barcelona,Barcelona,Eixample,es,1291.0,False,True,39.0,
1000.0,chalet,rent,52.0,3,1,Barcelona,Sant Vicenç Dels Horts,,es,14708.0,False,True,19.0,
1900.0,flat,rent,100.0,3,2,Barcelona,Barcelona,Eixample,es,2675.0,False,True,19.0,
1600.0,flat,rent,100.0,2,2,Barcelona,Barcelona,Sant Martí,es,3631.0,False,True,16.0,
3500.0,flat,rent,89.0,4,2,Barcelona,Barcelona,Ciutat Vella,es,700.0,False,True,39.0,
950.0,flat,rent,32.0,1,1,Barcelona,Barcelona,Gràcia,es,1761.0,False,False,30.0,
1600.0,flat,rent,100.0,2,2,Barcelona,Barcelona,Eixample,es,2555.0,False,True,16.0,
1500.0,flat,rent,52.0,2,1,Barcelona,Barcelona,Eixample,es,2272.0,False,False,29.0,
1500.0,flat,rent,100.0,3,2,Barcelona,Barcelona,Eixample,es,1016.0,False,True,15.0,
1300.0,flat,rent,52.0,1,1,Barcelona,Barcelona,Sarrià-Sant Gervasi,es,2887.0,False,False,25.0,
1175.0,flat,rent,75.0,2,1,Barcelona,Barcelona,Les Corts,es,2657.0,False,True,16.0,
2500.0,flat,rent,119.0,3,2,Barcelona,Barcelona,Ciutat Vella,es,835.0,False,True,21.0,
900.0,flat,rent,55.0,3,1,Barcelona,Barcelona,Nou Barris,es,5412.0,False,False,16.0,
4100.0,flat,rent,57.0,2,1,Barcelona,Barcelona,Eixample,es,940.0,False,True,72.0,
